date,year,incidents,is_weekend,is_bonfire_window,day_of_year
2009-03-26,2009,264,0,0,85
2009-03-27,2009,282,0,0,86
2009-03-28,2009,305,1,0,87
2009-03-29,2009,273,1,0,88
2009-03-30,2009,246,0,0,89
2009-03-31,2009,281,0,0,90
2009-04-01,2009,263,0,0,91
2009-04-02,2009,258,0,0,92
2009-04-03,2009,255,0,0,93
2009-04-04,2009,305,1,0,94
2009-04-05,2009,300,1,0,95
2009-04-06,2009,279,0,0,96
2009-04-07,2009,247,0,0,97
2009-04-08,2009,264,0,0,98
2009-04-09,2009,263,0,0,99
2009-04-10,2009,265,0,0,100
2009-04-11,2009,287,1,0,101
2009-04-12,2009,299,1,0,102
2009-04-13,2009,267,0,0,103
2009-04-14,2009,273,0,0,104
2009-04-15,2009,243,0,0,105
2009-04-16,2009,283,0,0,106
2009-04-17,2009,248,0,0,107
2009-04-18,2009,304,1,0,108
2009-04-19,2009,295,1,0,109
2009-04-20,2009,267,0,0,110
2009-04-21,2009,266,0,0,111
2009-04-22,2009,269,0,0,112
2009-04-23,2009,283,0,0,113
2009-04-24,2009,290,0,0,114
2009-04-25,2009,348,1,0,115
2009-04-26,2009,293,1,0,116
2009-04-27,2009,247,0,0,117
2009-04-28,2009,260,0,0,118
2009-04-29,2009,290,0,0,119
2009-04-30,2009,302,0,0,120
2009-05-01,2009,238,0,0,121
2009-05-02,2009,295,1,0,122
2009-05-03,2009,322,1,0,123
2009-05-04,2009,292,0,0,124
2009-05-05,2009,242,0,0,125
2009-05-06,2009,256,0,0,126
2009-05-07,2009,289,0,0,127
2009-05-08,2009,264,0,0,128
2009-05-09,2009,313,1,0,129
2009-05-10,2009,318,1,0,130
2009-05-11,2009,257,0,0,131
2009-05-12,2009,261,0,0,132
2009-05-13,2009,256,0,0,133
2009-05-14,2009,269,0,0,134
2009-05-15,2009,260,0,0,135
2009-05-16,2009,301,1,0,136
2009-05-17,2009,287,1,0,137
2009-05-18,2009,262,0,0,138
2009-05-19,2009,292,0,0,139
2009-05-20,2009,275,0,0,140
2009-05-21,2009,268,0,0,141
2009-05-22,2009,241,0,0,142
2009-05-23,2009,351,1,0,143
2009-05-24,2009,326,1,0,144
2009-05-25,2009,276,0,0,145
2009-05-26,2009,249,0,0,146
2009-05-27,2009,267,0,0,147
2009-05-28,2009,268,0,0,148
2009-05-29,2009,284,0,0,149
2009-05-30,2009,278,1,0,150
2009-05-31,2009,299,1,0,151
2009-06-01,2009,231,0,0,152
2009-06-02,2009,255,0,0,153
2009-06-03,2009,282,0,0,154
2009-06-04,2009,267,0,0,155
2009-06-05,2009,297,0,0,156
2009-06-06,2009,303,1,0,157
2009-06-07,2009,275,1,0,158
2009-06-08,2009,278,0,0,159
2009-06-09,2009,261,0,0,160
2009-06-10,2009,279,0,0,161
2009-06-11,2009,257,0,0,162
2009-06-12,2009,248,0,0,163
2009-06-13,2009,295,1,0,164
2009-06-14,2009,334,1,0,165
2009-06-15,2009,287,0,0,166
2009-06-16,2009,274,0,0,167
2009-06-17,2009,273,0,0,168
2009-06-18,2009,241,0,0,169
2009-06-19,2009,259,0,0,170
2009-06-20,2009,337,1,0,171
2009-06-21,2009,287,1,0,172
2009-06-22,2009,263,0,0,173
2009-06-23,2009,259,0,0,174
2009-06-24,2009,268,0,0,175
2009-06-25,2009,288,0,0,176
2009-06-26,2009,260,0,0,177
2009-06-27,2009,302,1,0,178
2009-06-28,2009,330,1,0,179
2009-06-29,2009,292,0,0,180
2009-06-30,2009,302,0,0,181
2009-07-01,2009,241,0,0,182
2009-07-02,2009,303,0,0,183
2009-07-03,2009,273,0,0,184
2009-07-04,2009,302,1,0,185
2009-07-05,2009,298,1,0,186
2009-07-06,2009,263,0,0,187
2009-07-07,2009,261,0,0,188
2009-07-08,2009,263,0,0,189
2009-07-09,2009,290,0,0,190
2009-07-10,2009,257,0,0,191
2009-07-11,2009,317,1,0,192
2009-07-12,2009,308,1,0,193
2009-07-13,2009,278,0,0,194
2009-07-14,2009,288,0,0,195
2009-07-15,2009,276,0,0,196
2009-07-16,2009,256,0,0,197
2009-07-17,2009,271,0,0,198
2009-07-18,2009,290,1,0,199
2009-07-19,2009,299,1,0,200
2009-07-20,2009,280,0,0,201
2009-07-21,2009,285,0,0,202
2009-07-22,2009,253,0,0,203
2009-07-23,2009,248,0,0,204
2009-07-24,2009,279,0,0,205
2009-07-25,2009,315,1,0,206
2009-07-26,2009,318,1,0,207
2009-07-27,2009,263,0,0,208
2009-07-28,2009,266,0,0,209
2009-07-29,2009,259,0,0,210
2009-07-30,2009,266,0,0,211
2009-07-31,2009,254,0,0,212
2009-08-01,2009,314,1,0,213
2009-08-02,2009,310,1,0,214
2009-08-03,2009,273,0,0,215
2009-08-04,2009,264,0,0,216
2009-08-05,2009,278,0,0,217
2009-08-06,2009,260,0,0,218
2009-08-07,2009,289,0,0,219
2009-08-08,2009,324,1,0,220
2009-08-09,2009,301,1,0,221
2009-08-10,2009,263,0,0,222
2009-08-11,2009,244,0,0,223
2009-08-12,2009,246,0,0,224
2009-08-13,2009,289,0,0,225
2009-08-14,2009,265,0,0,226
2009-08-15,2009,307,1,0,227
2009-08-16,2009,352,1,0,228
2009-08-17,2009,259,0,0,229
2009-08-18,2009,260,0,0,230
2009-08-19,2009,273,0,0,231
2009-08-20,2009,264,0,0,232
2009-08-21,2009,273,0,0,233
2009-08-22,2009,313,1,0,234
2009-08-23,2009,314,1,0,235
2009-08-24,2009,262,0,0,236
2009-08-25,2009,282,0,0,237
2009-08-26,2009,290,0,0,238
2009-08-27,2009,280,0,0,239
2009-08-28,2009,269,0,0,240
2009-08-29,2009,307,1,0,241
2009-08-30,2009,324,1,0,242
2009-08-31,2009,250,0,0,243
2009-09-01,2009,243,0,0,244
2009-09-02,2009,301,0,0,245
2009-09-03,2009,243,0,0,246
2009-09-04,2009,268,0,0,247
2009-09-05,2009,307,1,0,248
2009-09-06,2009,311,1,0,249
2009-09-07,2009,275,0,0,250
2009-09-08,2009,279,0,0,251
2009-09-09,2009,260,0,0,252
2009-09-10,2009,265,0,0,253
2009-09-11,2009,277,0,0,254
2009-09-12,2009,306,1,0,255
2009-09-13,2009,323,1,0,256
2009-09-14,2009,238,0,0,257
2009-09-15,2009,242,0,0,258
2009-09-16,2009,259,0,0,259
2009-09-17,2009,278,0,0,260
2009-09-18,2009,249,0,0,261
2009-09-19,2009,347,1,0,262
2009-09-20,2009,317,1,0,263
2009-09-21,2009,260,0,0,264
2009-09-22,2009,253,0,0,265
2009-09-23,2009,246,0,0,266
2009-09-24,2009,264,0,0,267
2009-09-25,2009,256,0,0,268
2009-09-26,2009,313,1,0,269
2009-09-27,2009,285,1,0,270
2009-09-28,2009,253,0,0,271
2009-09-29,2009,234,0,0,272
2009-09-30,2009,261,0,0,273
2009-10-01,2009,268,0,0,274
2009-10-02,2009,259,0,0,275
2009-10-03,2009,292,1,0,276
2009-10-04,2009,301,1,0,277
2009-10-05,2009,265,0,0,278
2009-10-06,2009,286,0,0,279
2009-10-07,2009,269,0,0,280
2009-10-08,2009,267,0,0,281
2009-10-09,2009,242,0,0,282
2009-10-10,2009,275,1,0,283
2009-10-11,2009,313,1,0,284
2009-10-12,2009,265,0,0,285
2009-10-13,2009,281,0,0,286
2009-10-14,2009,298,0,0,287
2009-10-15,2009,278,0,0,288
2009-10-16,2009,271,0,0,289
2009-10-17,2009,283,1,0,290
2009-10-18,2009,293,1,0,291
2009-10-19,2009,269,0,0,292
2009-10-20,2009,282,0,0,293
2009-10-21,2009,247,0,0,294
2009-10-22,2009,258,0,0,295
2009-10-23,2009,250,0,0,296
2009-10-24,2009,292,1,0,297
2009-10-25,2009,312,1,0,298
2009-10-26,2009,248,0,0,299
2009-10-27,2009,266,0,0,300
2009-10-28,2009,280,0,0,301
2009-10-29,2009,277,0,0,302
2009-10-30,2009,245,0,0,303
2009-10-31,2009,308,1,0,304
2009-11-01,2009,305,1,0,305
2009-11-02,2009,254,0,0,306
2009-11-03,2009,523,0,1,307
2009-11-04,2009,563,0,1,308
2009-11-05,2009,1304,0,1,309
2009-11-06,2009,553,0,1,310
2009-11-07,2009,575,1,1,311
2009-11-08,2009,310,1,0,312
2009-11-09,2009,271,0,0,313
2009-11-10,2009,318,0,0,314
2009-11-11,2009,258,0,0,315
2009-11-12,2009,278,0,0,316
2009-11-13,2009,279,0,0,317
2009-11-14,2009,310,1,0,318
2009-11-15,2009,330,1,0,319
2009-11-16,2009,260,0,0,320
2009-11-17,2009,278,0,0,321
2009-11-18,2009,207,0,0,322
2009-11-19,2009,286,0,0,323
2009-11-20,2009,272,0,0,324
2009-11-21,2009,292,1,0,325
2009-11-22,2009,303,1,0,326
2009-11-23,2009,240,0,0,327
2009-11-24,2009,257,0,0,328
2009-11-25,2009,260,0,0,329
2009-11-26,2009,277,0,0,330
2009-11-27,2009,279,0,0,331
2009-11-28,2009,309,1,0,332
2009-11-29,2009,322,1,0,333
2009-11-30,2009,257,0,0,334
2009-12-01,2009,243,0,0,335
2009-12-02,2009,247,0,0,336
2009-12-03,2009,282,0,0,337
2009-12-04,2009,286,0,0,338
2009-12-05,2009,306,1,0,339
2009-12-06,2009,330,1,0,340
2009-12-07,2009,273,0,0,341
2009-12-08,2009,263,0,0,342
2009-12-09,2009,271,0,0,343
2009-12-10,2009,261,0,0,344
2009-12-11,2009,245,0,0,345
2009-12-12,2009,312,1,0,346
2009-12-13,2009,277,1,0,347
2009-12-14,2009,254,0,0,348
2009-12-15,2009,280,0,0,349
2009-12-16,2009,274,0,0,350
2009-12-17,2009,284,0,0,351
2009-12-18,2009,281,0,0,352
2009-12-19,2009,308,1,0,353
2009-12-20,2009,306,1,0,354
2009-12-21,2009,272,0,0,355
2009-12-22,2009,305,0,0,356
2009-12-23,2009,247,0,0,357
2009-12-24,2009,254,0,0,358
2009-12-25,2009,250,0,0,359
2009-12-26,2009,302,1,0,360
2009-12-27,2009,316,1,0,361
2009-12-28,2009,271,0,0,362
2009-12-29,2009,290,0,0,363
2009-12-30,2009,279,0,0,364
2009-12-31,2009,267,0,0,365
2010-01-01,2010,263,0,0,1
2010-01-02,2010,300,1,0,2
2010-01-03,2010,286,1,0,3
2010-01-04,2010,262,0,0,4
2010-01-05,2010,267,0,0,5
2010-01-06,2010,249,0,0,6
2010-01-07,2010,252,0,0,7
2010-01-08,2010,245,0,0,8
2010-01-09,2010,341,1,0,9
2010-01-10,2010,284,1,0,10
2010-01-11,2010,263,0,0,11
2010-01-12,2010,267,0,0,12
2010-01-13,2010,255,0,0,13
2010-01-14,2010,281,0,0,14
2010-01-15,2010,251,0,0,15
2010-01-16,2010,282,1,0,16
2010-01-17,2010,294,1,0,17
2010-01-18,2010,253,0,0,18
2010-01-19,2010,258,0,0,19
2010-01-20,2010,259,0,0,20
2010-01-21,2010,247,0,0,21
2010-01-22,2010,281,0,0,22
2010-01-23,2010,311,1,0,23
2010-01-24,2010,280,1,0,24
2010-01-25,2010,245,0,0,25
2010-01-26,2010,232,0,0,26
2010-01-27,2010,224,0,0,27
2010-01-28,2010,307,0,0,28
2010-01-29,2010,263,0,0,29
2010-01-30,2010,307,1,0,30
2010-01-31,2010,303,1,0,31
2010-02-01,2010,257,0,0,32
2010-02-02,2010,265,0,0,33
2010-02-03,2010,267,0,0,34
2010-02-04,2010,256,0,0,35
2010-02-05,2010,270,0,0,36
2010-02-06,2010,282,1,0,37
2010-02-07,2010,309,1,0,38
2010-02-08,2010,254,0,0,39
2010-02-09,2010,266,0,0,40
2010-02-10,2010,283,0,0,41
2010-02-11,2010,256,0,0,42
2010-02-12,2010,268,0,0,43
2010-02-13,2010,307,1,0,44
2010-02-14,2010,265,1,0,45
2010-02-15,2010,265,0,0,46
2010-02-16,2010,282,0,0,47
2010-02-17,2010,277,0,0,48
2010-02-18,2010,250,0,0,49
2010-02-19,2010,263,0,0,50
2010-02-20,2010,303,1,0,51
2010-02-21,2010,262,1,0,52
2010-02-22,2010,284,0,0,53
2010-02-23,2010,273,0,0,54
2010-02-24,2010,240,0,0,55
2010-02-25,2010,281,0,0,56
2010-02-26,2010,253,0,0,57
2010-02-27,2010,311,1,0,58
2010-02-28,2010,274,1,0,59
2010-03-01,2010,264,0,0,60
2010-03-02,2010,269,0,0,61
2010-03-03,2010,238,0,0,62
2010-03-04,2010,297,0,0,63
2010-03-05,2010,275,0,0,64
2010-03-06,2010,270,1,0,65
2010-03-07,2010,266,1,0,66
2010-03-08,2010,262,0,0,67
2010-03-09,2010,256,0,0,68
2010-03-10,2010,269,0,0,69
2010-03-11,2010,259,0,0,70
2010-03-12,2010,264,0,0,71
2010-03-13,2010,289,1,0,72
2010-03-14,2010,264,1,0,73
2010-03-15,2010,245,0,0,74
2010-03-16,2010,250,0,0,75
2010-03-17,2010,257,0,0,76
2010-03-18,2010,264,0,0,77
2010-03-19,2010,256,0,0,78
2010-03-20,2010,350,1,0,79
2010-03-21,2010,316,1,0,80
2010-03-22,2010,256,0,0,81
2010-03-23,2010,289,0,0,82
2010-03-24,2010,266,0,0,83
2010-03-25,2010,264,0,0,84
2010-03-26,2010,256,0,0,85
2010-03-27,2010,291,1,0,86
2010-03-28,2010,335,1,0,87
2010-03-29,2010,271,0,0,88
2010-03-30,2010,285,0,0,89
2010-03-31,2010,268,0,0,90
2010-04-01,2010,252,0,0,91
2010-04-02,2010,263,0,0,92
2010-04-03,2010,321,1,0,93
2010-04-04,2010,316,1,0,94
2010-04-05,2010,237,0,0,95
2010-04-06,2010,239,0,0,96
2010-04-07,2010,260,0,0,97
2010-04-08,2010,282,0,0,98
2010-04-09,2010,236,0,0,99
2010-04-10,2010,329,1,0,100
2010-04-11,2010,319,1,0,101
2010-04-12,2010,271,0,0,102
2010-04-13,2010,265,0,0,103
2010-04-14,2010,261,0,0,104
2010-04-15,2010,248,0,0,105
2010-04-16,2010,253,0,0,106
2010-04-17,2010,297,1,0,107
2010-04-18,2010,281,1,0,108
2010-04-19,2010,261,0,0,109
2010-04-20,2010,261,0,0,110
2010-04-21,2010,275,0,0,111
2010-04-22,2010,274,0,0,112
2010-04-23,2010,246,0,0,113
2010-04-24,2010,305,1,0,114
2010-04-25,2010,329,1,0,115
2010-04-26,2010,263,0,0,116
2010-04-27,2010,267,0,0,117
2010-04-28,2010,265,0,0,118
2010-04-29,2010,265,0,0,119
2010-04-30,2010,250,0,0,120
2010-05-01,2010,303,1,0,121
2010-05-02,2010,302,1,0,122
2010-05-03,2010,277,0,0,123
2010-05-04,2010,257,0,0,124
2010-05-05,2010,246,0,0,125
2010-05-06,2010,300,0,0,126
2010-05-07,2010,249,0,0,127
2010-05-08,2010,300,1,0,128
2010-05-09,2010,287,1,0,129
2010-05-10,2010,223,0,0,130
2010-05-11,2010,263,0,0,131
2010-05-12,2010,260,0,0,132
2010-05-13,2010,236,0,0,133
2010-05-14,2010,264,0,0,134
2010-05-15,2010,283,1,0,135
2010-05-16,2010,311,1,0,136
2010-05-17,2010,266,0,0,137
2010-05-18,2010,235,0,0,138
2010-05-19,2010,269,0,0,139
2010-05-20,2010,268,0,0,140
2010-05-21,2010,257,0,0,141
2010-05-22,2010,294,1,0,142
2010-05-23,2010,319,1,0,143
2010-05-24,2010,246,0,0,144
2010-05-25,2010,280,0,0,145
2010-05-26,2010,233,0,0,146
2010-05-27,2010,263,0,0,147
2010-05-28,2010,217,0,0,148
2010-05-29,2010,291,1,0,149
2010-05-30,2010,282,1,0,150
2010-05-31,2010,252,0,0,151
2010-06-01,2010,239,0,0,152
2010-06-02,2010,262,0,0,153
2010-06-03,2010,261,0,0,154
2010-06-04,2010,258,0,0,155
2010-06-05,2010,300,1,0,156
2010-06-06,2010,288,1,0,157
2010-06-07,2010,258,0,0,158
2010-06-08,2010,254,0,0,159
2010-06-09,2010,250,0,0,160
2010-06-10,2010,268,0,0,161
2010-06-11,2010,256,0,0,162
2010-06-12,2010,287,1,0,163
2010-06-13,2010,329,1,0,164
2010-06-14,2010,244,0,0,165
2010-06-15,2010,254,0,0,166
2010-06-16,2010,270,0,0,167
2010-06-17,2010,239,0,0,168
2010-06-18,2010,251,0,0,169
2010-06-19,2010,323,1,0,170
2010-06-20,2010,303,1,0,171
2010-06-21,2010,268,0,0,172
2010-06-22,2010,265,0,0,173
2010-06-23,2010,257,0,0,174
2010-06-24,2010,289,0,0,175
2010-06-25,2010,265,0,0,176
2010-06-26,2010,324,1,0,177
2010-06-27,2010,325,1,0,178
2010-06-28,2010,251,0,0,179
2010-06-29,2010,269,0,0,180
2010-06-30,2010,265,0,0,181
2010-07-01,2010,245,0,0,182
2010-07-02,2010,250,0,0,183
2010-07-03,2010,288,1,0,184
2010-07-04,2010,303,1,0,185
2010-07-05,2010,254,0,0,186
2010-07-06,2010,275,0,0,187
2010-07-07,2010,268,0,0,188
2010-07-08,2010,229,0,0,189
2010-07-09,2010,263,0,0,190
2010-07-10,2010,302,1,0,191
2010-07-11,2010,324,1,0,192
2010-07-12,2010,238,0,0,193
2010-07-13,2010,274,0,0,194
2010-07-14,2010,246,0,0,195
2010-07-15,2010,275,0,0,196
2010-07-16,2010,289,0,0,197
2010-07-17,2010,305,1,0,198
2010-07-18,2010,302,1,0,199
2010-07-19,2010,239,0,0,200
2010-07-20,2010,265,0,0,201
2010-07-21,2010,253,0,0,202
2010-07-22,2010,269,0,0,203
2010-07-23,2010,264,0,0,204
2010-07-24,2010,276,1,0,205
2010-07-25,2010,297,1,0,206
2010-07-26,2010,252,0,0,207
2010-07-27,2010,228,0,0,208
2010-07-28,2010,268,0,0,209
2010-07-29,2010,265,0,0,210
2010-07-30,2010,265,0,0,211
2010-07-31,2010,295,1,0,212
2010-08-01,2010,303,1,0,213
2010-08-02,2010,251,0,0,214
2010-08-03,2010,277,0,0,215
2010-08-04,2010,259,0,0,216
2010-08-05,2010,260,0,0,217
2010-08-06,2010,266,0,0,218
2010-08-07,2010,294,1,0,219
2010-08-08,2010,306,1,0,220
2010-08-09,2010,247,0,0,221
2010-08-10,2010,273,0,0,222
2010-08-11,2010,251,0,0,223
2010-08-12,2010,249,0,0,224
2010-08-13,2010,246,0,0,225
2010-08-14,2010,343,1,0,226
2010-08-15,2010,331,1,0,227
2010-08-16,2010,271,0,0,228
2010-08-17,2010,261,0,0,229
2010-08-18,2010,274,0,0,230
2010-08-19,2010,259,0,0,231
2010-08-20,2010,259,0,0,232
2010-08-21,2010,320,1,0,233
2010-08-22,2010,278,1,0,234
2010-08-23,2010,257,0,0,235
2010-08-24,2010,274,0,0,236
2010-08-25,2010,233,0,0,237
2010-08-26,2010,219,0,0,238
2010-08-27,2010,300,0,0,239
2010-08-28,2010,275,1,0,240
2010-08-29,2010,273,1,0,241
2010-08-30,2010,267,0,0,242
2010-08-31,2010,263,0,0,243
2010-09-01,2010,228,0,0,244
2010-09-02,2010,258,0,0,245
2010-09-03,2010,279,0,0,246
2010-09-04,2010,323,1,0,247
2010-09-05,2010,301,1,0,248
2010-09-06,2010,273,0,0,249
2010-09-07,2010,264,0,0,250
2010-09-08,2010,248,0,0,251
2010-09-09,2010,258,0,0,252
2010-09-10,2010,248,0,0,253
2010-09-11,2010,280,1,0,254
2010-09-12,2010,313,1,0,255
2010-09-13,2010,274,0,0,256
2010-09-14,2010,255,0,0,257
2010-09-15,2010,265,0,0,258
2010-09-16,2010,267,0,0,259
2010-09-17,2010,243,0,0,260
2010-09-18,2010,286,1,0,261
2010-09-19,2010,316,1,0,262
2010-09-20,2010,255,0,0,263
2010-09-21,2010,255,0,0,264
2010-09-22,2010,284,0,0,265
2010-09-23,2010,246,0,0,266
2010-09-24,2010,269,0,0,267
2010-09-25,2010,278,1,0,268
2010-09-26,2010,264,1,0,269
2010-09-27,2010,259,0,0,270
2010-09-28,2010,243,0,0,271
2010-09-29,2010,253,0,0,272
2010-09-30,2010,241,0,0,273
2010-10-01,2010,257,0,0,274
2010-10-02,2010,306,1,0,275
2010-10-03,2010,314,1,0,276
2010-10-04,2010,257,0,0,277
2010-10-05,2010,252,0,0,278
2010-10-06,2010,256,0,0,279
2010-10-07,2010,247,0,0,280
2010-10-08,2010,258,0,0,281
2010-10-09,2010,309,1,0,282
2010-10-10,2010,310,1,0,283
2010-10-11,2010,281,0,0,284
2010-10-12,2010,256,0,0,285
2010-10-13,2010,272,0,0,286
2010-10-14,2010,255,0,0,287
2010-10-15,2010,268,0,0,288
2010-10-16,2010,304,1,0,289
2010-10-17,2010,322,1,0,290
2010-10-18,2010,273,0,0,291
2010-10-19,2010,261,0,0,292
2010-10-20,2010,263,0,0,293
2010-10-21,2010,255,0,0,294
2010-10-22,2010,233,0,0,295
2010-10-23,2010,302,1,0,296
2010-10-24,2010,295,1,0,297
2010-10-25,2010,261,0,0,298
2010-10-26,2010,270,0,0,299
2010-10-27,2010,255,0,0,300
2010-10-28,2010,254,0,0,301
2010-10-29,2010,261,0,0,302
2010-10-30,2010,287,1,0,303
2010-10-31,2010,279,1,0,304
2010-11-01,2010,285,0,0,305
2010-11-02,2010,237,0,0,306
2010-11-03,2010,521,0,1,307
2010-11-04,2010,481,0,1,308
2010-11-05,2010,1318,0,1,309
2010-11-06,2010,584,1,1,310
2010-11-07,2010,638,1,1,311
2010-11-08,2010,244,0,0,312
2010-11-09,2010,239,0,0,313
2010-11-10,2010,273,0,0,314
2010-11-11,2010,261,0,0,315
2010-11-12,2010,238,0,0,316
2010-11-13,2010,300,1,0,317
2010-11-14,2010,265,1,0,318
2010-11-15,2010,264,0,0,319
2010-11-16,2010,218,0,0,320
2010-11-17,2010,266,0,0,321
2010-11-18,2010,267,0,0,322
2010-11-19,2010,269,0,0,323
2010-11-20,2010,308,1,0,324
2010-11-21,2010,291,1,0,325
2010-11-22,2010,262,0,0,326
2010-11-23,2010,254,0,0,327
2010-11-24,2010,281,0,0,328
2010-11-25,2010,279,0,0,329
2010-11-26,2010,265,0,0,330
2010-11-27,2010,344,1,0,331
2010-11-28,2010,288,1,0,332
2010-11-29,2010,247,0,0,333
2010-11-30,2010,249,0,0,334
2010-12-01,2010,261,0,0,335
2010-12-02,2010,262,0,0,336
2010-12-03,2010,248,0,0,337
2010-12-04,2010,283,1,0,338
2010-12-05,2010,269,1,0,339
2010-12-06,2010,251,0,0,340
2010-12-07,2010,271,0,0,341
2010-12-08,2010,253,0,0,342
2010-12-09,2010,277,0,0,343
2010-12-10,2010,269,0,0,344
2010-12-11,2010,330,1,0,345
2010-12-12,2010,315,1,0,346
2010-12-13,2010,274,0,0,347
2010-12-14,2010,253,0,0,348
2010-12-15,2010,224,0,0,349
2010-12-16,2010,282,0,0,350
2010-12-17,2010,282,0,0,351
2010-12-18,2010,292,1,0,352
2010-12-19,2010,318,1,0,353
2010-12-20,2010,236,0,0,354
2010-12-21,2010,281,0,0,355
2010-12-22,2010,267,0,0,356
2010-12-23,2010,238,0,0,357
2010-12-24,2010,263,0,0,358
2010-12-25,2010,306,1,0,359
2010-12-26,2010,305,1,0,360
2010-12-27,2010,250,0,0,361
2010-12-28,2010,252,0,0,362
2010-12-29,2010,252,0,0,363
2010-12-30,2010,269,0,0,364
2010-12-31,2010,238,0,0,365
2011-01-01,2011,305,1,0,1
2011-01-02,2011,250,1,0,2
2011-01-03,2011,249,0,0,3
2011-01-04,2011,224,0,0,4
2011-01-05,2011,254,0,0,5
2011-01-06,2011,251,0,0,6
2011-01-07,2011,236,0,0,7
2011-01-08,2011,273,1,0,8
2011-01-09,2011,289,1,0,9
2011-01-10,2011,263,0,0,10
2011-01-11,2011,231,0,0,11
2011-01-12,2011,231,0,0,12
2011-01-13,2011,242,0,0,13
2011-01-14,2011,214,0,0,14
2011-01-15,2011,263,1,0,15
2011-01-16,2011,257,1,0,16
2011-01-17,2011,219,0,0,17
2011-01-18,2011,227,0,0,18
2011-01-19,2011,246,0,0,19
2011-01-20,2011,232,0,0,20
2011-01-21,2011,217,0,0,21
2011-01-22,2011,268,1,0,22
2011-01-23,2011,250,1,0,23
2011-01-24,2011,225,0,0,24
2011-01-25,2011,235,0,0,25
2011-01-26,2011,234,0,0,26
2011-01-27,2011,242,0,0,27
2011-01-28,2011,260,0,0,28
2011-01-29,2011,290,1,0,29
2011-01-30,2011,253,1,0,30
2011-01-31,2011,240,0,0,31
2011-02-01,2011,228,0,0,32
2011-02-02,2011,226,0,0,33
2011-02-03,2011,216,0,0,34
2011-02-04,2011,286,0,0,35
2011-02-05,2011,284,1,0,36
2011-02-06,2011,257,1,0,37
2011-02-07,2011,248,0,0,38
2011-02-08,2011,254,0,0,39
2011-02-09,2011,248,0,0,40
2011-02-10,2011,224,0,0,41
2011-02-11,2011,254,0,0,42
2011-02-12,2011,266,1,0,43
2011-02-13,2011,272,1,0,44
